"","key","section","Question1_Part1","Question1_Part3","Question1_Part4","Question2_Part2","Question3_Part1","Question3_Part1_7_TEXT","Question3_Part2","Question3_Part3","Question3_Part3_6_TEXT","Question3_Part4_1","Question3_Part5_1","Question3_Part6","Question3_Part7","Question4_Part1_1","Question4_Part1_2","Question4_Part1_3","Question4_Part1_4","Question4_Part1_5","Question4_Part1_6","Question4_Part1_7","Question4_Part1_8","Question5_Part1_1","Question5_Part1_2","Question5_Part1_3","Question5_Part1_4","Question5_Part1_5","Question5_Part1_6","Question5_Part1_7","Question6_Part1_1","Question6_Part1_2","Question6_Part1_3","Question6_Part1_4","Question6_Part2_1","Question6_Part2_2","Question6_Part2_3","Question6_Part2_4","Question6_Part2_5","Question6_Part2_6","Question6_Part2_7","Question6_Part2_8","Question6_Part2_9","Question6_Part2_10","Question6_Part3_1","Question6_Part3_2","Question6_Part3_3","Question6_Part3_4","Question7_Part1_1","Question7_Part1_2","Question7_Part1_3","Question7_Part1_4","Question7_Part2_1","Question7_Part2_2","Question7_Part2_3","Question7_Part2_4","Question7_Part3_1","Question7_Part3_2","Question7_Part3_3","Question7_Part3_4","Question7_Part3_5","Question7_Part3_6"
"72","denim-rutabaga",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Completed an online course related to computer science or programming (e.g., MOOC)","First Year","","I lean towards Declaring a CS Major","I might or might not declare a CS Minor",NA,NA,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Often","Always","Often","Sometimes","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Between 1 and 2 hours","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree"
"73","gold-oregano",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biochemistry","Mathematics minor","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Sometimes","Often","Rarely","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 1 and 2 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree"
"74","gray-coconut",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Computer Science Principles,Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Took other dual enrollment courses,Took part in student groups related to computer science","First Year","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Engineering",NA,"Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Often","Rarely","Often","Rarely","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Somewhat agree","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"75","lavender-turnip",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I do not agree to participate and will be excluded from the remainder of the questions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","magenta-pear",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I do not agree to participate and will be excluded from the remainder of the questions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","maroon-legume",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Took a computer science or programming course not associated with AP or dual enrollment","First Year","","I lean towards NOT Declaring a CS Major","I might or might not declare a CS Minor",NA,NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Often","Sometimes","Often","Sometimes","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree"
"78","mauvelous-cucumber",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor","","Took AP Computer Science A,Took AP Calculus AB,Took AP Calculus BC,Took other AP courses,Learned a computer programming language on my own","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Statistical and Data Sciences","Quantitative Economics","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Sometimes","Always","Always","Never","Somewhat agree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","More than 10 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree"
"79","mauvelous-okra",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science","","Completed an online course related to computer science or programming (e.g., MOOC),Engaged in software or hardware related projects,Attended a workshop or other training in computer science (e.g., through your local library, community center, etc.)","First Year","","I lean towards NOT Declaring a CS Major","I might or might not declare a CS Minor",NA,NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Sometimes","Often","Sometimes","Rarely","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree"
"80","orange-cherry",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It fulfilled another requirement,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","Ada Comstock","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","American Studies","Archives Concentration","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree","Strongly disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Never","Always","Often","Sometimes","Strongly disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Between 5 and 10 hours","Between 1 and 5 hours","More than 10 hours","Between 1 and 2 hours","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree"
"81","orchid-papaya",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,My parents encouraged me to,A teacher or other mentor encouraged me to","","","Sophomore","","I am sure that I will NOT Declare a CS Major","I lean towards NOT Declaring a CS Minor","Psychology","","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","red-currant",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","Took AP Calculus AB,Took AP Calculus BC,Took other AP courses","Sophomore","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Biological Sciences (biodiversity, ecology, and conservation track)","Mathematical Statistics (major)","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Sometimes","Often","Always","Always","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree"
"83","scarlet-pear",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,A teacher or other mentor encouraged me to","","","First Year","","I lean towards NOT Declaring a CS Major","I lean towards NOT Declaring a CS Minor",NA,NA,"Strongly disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Often","Rarely","Always","Never","Strongly disagree","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"84","tan-cilantro",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","It was required for my major/minor,A teacher or other mentor encouraged me to","","Took other AP courses","Junior","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Psychology","not-yet-declared SDS minor","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Often","Often","Often","Always","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly agree","Between 1 and 5 hours","Between 1 and 2 hours","Between 1 and 5 hours","Less than 1 hour","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree"
"85","tumbleweed-mulberry",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","Curiosity or interest in computer science,It helped build my computer science skills for my other interests","","","First Year","","I might or might not declare a CS major","I might or might not declare a CS Minor",NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat agree","Sometimes","Always","Sometimes","Sometimes","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Between 1 and 2 hours","Less than 1 hour","Between 1 and 5 hours","Less than 1 hour","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"86","white-cucumber",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I do not agree to participate and will be excluded from the remainder of the questions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","white-nopale",3,"","","Section 3: 10:50 AM - 12:05 PM with Rosie Dutt","I agree and give my consent to participate in this project. I understand that participation is voluntary and that I may withdraw my consent at any time without penalty.","A teacher or other mentor encouraged me to,Other (specify in the text area)","My STRIDE advisor said that Python would be useful for him","Took AP Calculus AB,Took other AP courses,Took other dual enrollment courses","First Year","","I am sure that I will NOT Declare a CS Major","I am sure that I will NOT Declare a CS Minor","Chemistry","Classical Studies","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Sometimes","Always","Always","Often","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Somewhat disagree","Strongly agree","Between 1 and 5 hours","Less than 1 hour","Between 5 and 10 hours","Less than 1 hour","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Strongly disagree"
